UnitID,Institution Name,Total amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1718),Graduation rate  total cohort (DRVGR2018),Core revenues  total dollars (GASB) (DRVF2018),Core revenues  total dollars (FASB) (DRVF2018),City location of institution (HD2017),State abbreviation (HD2017),ZIP code (HD2017),Fips County code (HD2017),County name (HD2017),Longitude location of institution (HD2017),Latitude location of institution (HD2017),Institution size category (HD2017),Land Grant Institution (HD2017),FIPS state code (HD2017),Sector of institution (HD2017),Control of institution (HD2017),Percent admitted - total (DRVADM2017_RV),Enrolled total (ADM2017_RV),Student-to-faculty ratio (EF2017D_RV)
104151,Arizona State University-Tempe,366167416,69,1861647480,,Tempe,AZ,85287,4013,Maricopa County,-111.934383,33.417721,5,2,4,1,1,84,7874,20
100858,Auburn University,113945838,78,1001708038,,Auburn,AL,36849,1081,Lee County,-85.488258,32.599378,5,1,1,1,1,84,4836,19
223232,Baylor University,291237680,79,,703082000,Waco,TX,76798,48309,McLennan County,-97.117641,31.54896,4,2,48,2,2,39,3320,14
164924,Boston College,175940335,92,,866331068,Chestnut Hill,MA,2467,25017,Middlesex County,-71.169242,42.336213,4,2,25,2,2,32,2412,13
230038,Brigham Young University-Provo,159339374,86,,1425152061,Provo,UT,84602,49049,Utah County,-111.649281,40.250851,5,2,49,2,2,52,5440,20
217882,Clemson University,128584995,83,881064427,,Clemson,SC,29634,45077,Pickens County,-82.835114,34.679381,5,1,45,1,1,47,3650,16
198419,Duke University,169917950,96,,3829657000,Durham,NC,27708,37063,Durham County,-78.937624,36.001135,4,2,37,2,2,10,1748,7
134097,Florida State University,205985895,83,1136393858,,Tallahassee,FL,32306-1037,12073,Leon County,-84.291921,30.440756,5,2,12,1,1,49,6523,22
139755,Georgia Institute of Technology-Main Campus,109768232,87,1630960190,,Atlanta,GA,30332-0530,13121,Fulton County,-84.394832,33.77242,5,2,13,1,1,23,2861,22
151351,Indiana University-Bloomington,233963279,78,1363320349,,Bloomington,IN,47405-7000,18105,Monroe County,-86.526559,39.16609,5,2,18,1,1,76,8001,17
153603,Iowa State University,162851585,75,1036871387,,Ames,IA,50011-2103,19169,Story County,-93.648504,42.026212,5,1,19,1,1,89,5944,19
155399,Kansas State University,73468642,64,710642553,,Manhattan,KS,66506,20161,Riley County,-96.581077,39.188648,5,1,20,1,1,94,3350,18
159391,Louisiana State University and Agricultural & Mechanical College,210677885,67,946414580,,Baton Rouge,LA,70803-2750,22033,East Baton Rouge Parish,-91.178921,30.414986,5,1,22,1,1,74,4917,20
171100,Michigan State University,238122905,80,2524672090,,East Lansing,MI,48824-1046,26065,Ingham County,-84.476111,42.73212,5,1,26,1,1,72,8366,16
176080,Mississippi State University,135954705,58,647024162,,Mississippi State,MS,39762,28105,Oktibbeha County,-88.790139,33.454852,5,1,28,1,1,62,3435,20
199193,North Carolina State University at Raleigh,131205536,81,1474004063,,Raleigh,NC,27695-7001,37183,Wake County,-78.674517,35.785111,5,1,37,1,1,51,4797,13
147767,Northwestern University,200132628,95,,2935777000,Evanston,IL,60208,17031,Cook County,-87.679858,42.050356,5,2,17,2,2,9,1903,6
204796,Ohio State University-Main Campus,298742539,84,2966844143,,Columbus,OH,43210,39049,Franklin County,-83.014853,39.999324,5,1,39,1,1,48,7209,19
207388,Oklahoma State University-Main Campus,142251429,61,661316515,,Stillwater,OK,74078-1015,40119,Payne County,-97.069743,36.123085,5,1,40,1,1,74,4220,20
209542,Oregon State University,101320965,67,1013429030,,Corvallis,OR,97331,41003,Benton County,-123.274723,44.56395,5,1,41,1,1,79,3819,18
214777,Pennsylvania State University-Main Campus,180255007,85,,3122498451,University Park,PA,16802-1503,42027,Centre County,-77.862848,40.7965,5,1,42,1,1,50,7863,16
243780,Purdue University-Main Campus,161521390,81,1767061392,,West Lafayette,IN,47907-2040,18157,Tippecanoe County,-86.914435,40.428206,5,1,18,1,1,57,7728,13
186380,Rutgers University-New Brunswick,221461026,80,2653504000,,New Brunswick,NJ,08901-1281,34023,Middlesex County,-74.446251,40.498769,5,1,34,1,1,58,6268,15
243744,Stanford University,197608258,94,,6271342000,Stanford,CA,94305,6085,Santa Clara County,-122.167359,37.429434,4,2,6,2,2,5,1700,12
196413,Syracuse University,301247134,83,,923897977,Syracuse,NY,13244,36067,Onondaga County,-76.136975,43.040176,5,2,36,2,2,47,3649,15
228723,Texas A & M University-College Station,249305998,82,3326547571,,College Station,TX,77843-1248,48041,Brazos County,-96.336475,30.618726,5,1,48,1,1,71,11639,21
228875,Texas Christian University,153532574,83,,568479000,Fort Worth,TX,76129,48439,Tarrant County,-97.361537,32.709568,4,2,48,2,2,41,1955,13
229115,Texas Tech University,120572282,60,837942535,,Lubbock,TX,79409-5005,48303,Lubbock County,-101.874783,33.583448,5,2,48,1,1,69,5883,20
100751,The University of Alabama,290118217,72,1094684351,,Tuscaloosa,AL,35487-0166,1125,Tuscaloosa County,-87.545978,33.211875,5,2,1,1,1,53,7407,23
221759,The University of Tennessee-Knoxville,156073958,73,1136725677,,Knoxville,TN,37996,47093,Knox County,-83.925852,35.952082,5,1,47,1,1,77,4895,17
228778,The University of Texas at Austin,211275248,83,3322700425,,Austin,TX,78712,48453,Travis County,-97.738273,30.282825,5,2,48,1,1,36,8381,18
197036,United States Military Academy,,85,506946344,,West  Point,NY,10996-1905,36071,Orange County,-73.956603,41.390479,2,2,36,1,1,10,1210,7
104179,University of Arizona,273968390,64,1904525558,,Tucson,AZ,85721-0066,4019,Pima County,-110.950815,32.232672,5,1,4,1,1,84,7360,15
106397,University of Arkansas,97737081,66,853801648,,Fayetteville,AR,72701,5143,Washington County,-94.176981,36.070009,5,1,5,1,1,66,5066,18
110635,University of California-Berkeley,329497323,91,2871112000,,Berkeley,CA,94720,6001,Alameda County,-122.260463,37.871918,5,1,6,1,1,17,6379,18
110662,University of California-Los Angeles,349663464,91,4829355000,,Los Angeles,CA,90095-1405,6037,Los Angeles County,-118.443901,34.068892,5,2,6,1,1,16,6038,18
126614,University of Colorado Boulder,152455782,71,1432684570,,Boulder,CO,80309-0017,8013,Boulder County,-105.270823,40.008781,5,2,8,1,1,80,6569,18
134130,University of Florida,264328190,90,3082681000,,Gainesville,FL,32611,12001,Alachua County,-82.347911,29.64629,5,1,12,1,1,42,6428,19
139959,University of Georgia,238740476,86,1489587510,,Athens,GA,30602,13059,Clarke County,-83.374039,33.956262,5,1,13,1,1,54,5826,17
145637,University of Illinois at Urbana-Champaign,,,,,,,,,,-88.229114,40.104718,,,,,,,,
153658,University of Iowa,138084336,73,1854796000,,Iowa City,IA,52242-1316,19103,Johnson County,-91.536425,41.661935,5,2,19,1,1,86,5027,16
155317,University of Kansas,103250284,65,1183297725,,Lawrence,KS,66045,20045,Douglas County,-95.247567,38.958549,5,2,20,1,1,93,4153,17
157085,University of Kentucky,183864026,66,1615317832,,Lexington,KY,40506-0032,21067,Fayette County,-84.504747,38.038911,5,1,21,1,1,96,4855,17
157289,University of Louisville,116965832,57,692907000,,Louisville,KY,40292-0001,21111,Jefferson County,-85.760412,38.216862,5,2,21,1,1,75,2796,15
163286,University of Maryland-College Park,143661519,86,1786232938,,College Park,MD,20742,24033,Prince George's County,-76.944721,38.988178,5,1,24,1,1,45,4156,18
166629,University of Massachusetts-Amherst,166711391,80,1040035291,,Amherst,MA,1003,25015,Hampshire County,-72.526728,42.385999,5,1,25,1,1,58,4752,18
135726,University of Miami,234946296,82,,1817664937,Coral Gables,FL,33146,12086,Miami-Dade County,-80.278662,25.72126,4,2,12,2,2,36,2212,12
170976,University of Michigan-Ann Arbor,300444294,92,4494847000,,Ann Arbor,MI,48109,26161,Washtenaw County,-83.742769,42.275921,5,2,26,1,1,27,6879,11
174066,University of Minnesota-Twin Cities,179687270,80,3018411154,,Minneapolis,MN,55455-0213,27053,Hennepin County,-93.235464,44.972851,5,1,27,1,1,50,6201,17
176017,University of Mississippi,132933133,64,847439738,,University,MS,38677-1848,28071,Lafayette County,-89.537434,34.365529,5,2,28,1,1,84,3694,18
178396,University of Missouri-Columbia,137186435,69,1005806323,,Columbia,MO,65211-1050,29019,Boone County,-92.328843,38.94531,5,1,29,1,1,78,4134,18
181464,University of Nebraska-Lincoln,130806902,69,884524404,,Lincoln,NE,68588,31109,Lancaster County,-96.700508,40.817598,5,1,31,1,1,64,4905,21
199120,University of North Carolina at Chapel Hill,171028097,89,2527761547,,Chapel Hill,NC,27599,37135,Orange County,-79.050969,35.911769,5,2,37,1,1,24,4356,13
152080,University of Notre Dame,196895216,97,,2264937000,Notre Dame,IN,46556,18141,St. Joseph County,-86.238959,41.703058,4,2,18,2,2,19,2051,10
207500,University of Oklahoma-Norman Campus,143209077,67,879848000,,Norman,OK,73019-3072,40027,Cleveland County,-97.444211,35.209407,5,2,40,1,1,74,4473,18
209551,University of Oregon,75079859,73,780911472,,Eugene,OR,97403,41039,Lane County,-123.075792,44.045146,5,2,41,1,1,83,3938,17
215293,University of Pittsburgh-Pittsburgh Campus,117730304,83,,2292308507,Pittsburgh,PA,15260,42003,Allegheny County,-79.953254,40.444388,5,2,42,1,1,60,4019,14
218663,University of South Carolina-Columbia,123188681,77,991496909,,Columbia,SC,29208,45079,Richland County,-81.026935,33.996788,5,2,45,1,1,72,5879,17
123961,University of Southern California,437538849,92,,3405243000,Los Angeles,CA,90089,6037,Los Angeles County,-118.284169,34.021281,5,2,6,2,2,16,3358,9
230764,University of Utah,107668254,70,2119406000,,Salt Lake City,UT,84112-9008,49035,Salt Lake County,-111.846044,40.762484,5,2,49,1,1,66,4119,16
234076,University of Virginia-Main Campus,138050314,94,2184951197,,Charlottesville,VA,22903-2628,51003,Albemarle County,-78.503428,38.035665,5,2,51,1,1,27,3788,15
236948,University of Washington-Seattle Campus,189834165,84,3854135362,,Seattle,WA,98195-4550,53033,King County,-122.30514,47.65538,5,2,53,1,1,46,6793,19
240444,University of Wisconsin-Madison,132824777,87,2716065392,,Madison,WI,53706-1380,55025,Dane County,-89.404098,43.075409,5,1,55,1,1,54,6609,18
221999,Vanderbilt University,190394211,94,,1441688835,Nashville,TN,37240,47037,Davidson County,-86.803369,36.14659,4,2,47,2,2,11,1607,7
233921,Virginia Polytechnic Institute and State University,118220083,84,1264147935,,Blacksburg,VA,24061-0131,51121,Montgomery County,-80.423675,37.229012,5,1,51,1,1,70,6836,14
199847,Wake Forest University,87795734,89,,1411552000,Winston-Salem,NC,27106,37067,Forsyth County,-80.277446,36.133609,3,2,37,2,2,28,1349,11
236939,Washington State University,164137620,59,985404868,,Pullman,WA,99164-5910,53075,Whitman County,-117.158168,46.730448,5,1,53,1,1,73,4612,15
238032,West Virginia University,155240056,60,935419171,,Morgantown,WV,26506,54061,Monongalia County,-79.954391,39.634371,5,1,54,1,1,72,5225,20