Survey Year,UNITID,Institution Name,curr_conf,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2017,104151,Arizona State University-Tempe,4,AZ,1,,1,NCAA,21779,16855,38634,7,Football,125,,,,125,0,49253,6156576,0,0,6156576,,,,,,47463786,,47463786,,,,47463786,0,47463786,50151443,,50151443,,,,50151443,0,50151443
2017,100858,Auburn University,5,AL,1,,1,NCAA,10584,10848,21432,7,Football,110,,,,110,0,51069,5617570,0,0,5617570,,,,,,93562715,,93562715,,,,93562715,0,93562715,43605320,,43605320,,,,43605320,0,43605320
2017,223232,Baylor University,3,TX,1,,1,NCAA,5801,8284,14085,7,Football,121,,,,121,0,45428,5496810,0,0,5496810,,,,,,41528041,,41528041,,,,41528041,0,41528041,28188097,,28188097,,,,28188097,0,28188097
2017,164924,Boston College,1,MA,1,,1,NCAA,4495,5030,9525,7,Football,106,,,,106,0,47711,5057319,0,0,5057319,,,,,,32378875,,32378875,,,,32378875,0,32378875,23477213,,23477213,,,,23477213,0,23477213
2017,230038,Brigham Young University-Provo,0,UT,1,,1,NCAA,14388,13768,28156,7,Football,129,,,,129,0,33236,4287462,0,0,4287462,,,,,,28209221,,28209221,,,,28209221,0,28209221,19435229,,19435229,,,,19435229,0,19435229
2017,217882,Clemson University,1,SC,1,,1,NCAA,9521,9074,18595,7,Football,122,,,,122,0,61841,7544554,0,0,7544554,,,,,,52029977,,52029977,,,,52029977,0,52029977,46302285,,46302285,,,,46302285,0,46302285
2017,198419,Duke University,1,NC,1,,1,NCAA,3261,3275,6536,7,Football,115,,,,115,0,23032,2648672,0,0,2648672,,,,,,37844852,,37844852,,,,37844852,0,37844852,26200992,,26200992,,,,26200992,0,26200992
2017,134097,Florida State University,1,FL,1,,1,NCAA,12663,16524,29187,7,Football,126,,,,126,0,90166,11360927,0,0,11360927,,,,,,87510028,,87510028,,,,87510028,0,87510028,57732569,,57732569,,,,57732569,0,57732569
2017,139755,Georgia Institute of Technology-Main Campus,1,GA,1,,1,NCAA,8510,5343,13853,7,Football,119,,,,119,0,21474,2555381,0,0,2555381,,,,,,52125034,,52125034,,,,52125034,0,52125034,25096298,,25096298,,,,25096298,0,25096298
2017,151351,Indiana University-Bloomington,2,IN,1,,1,NCAA,16179,15934,32113,7,Football,125,,,,125,0,28545,3568142,0,0,3568142,,,,,,51856180,,51856180,,,,51856180,0,51856180,24374745,,24374745,,,,24374745,0,24374745
2017,153603,Iowa State University,3,IA,1,,1,NCAA,16398,12242,28640,7,Football,133,,,,133,0,32405,4309841,0,0,4309841,,,,,,44264830,,44264830,,,,44264830,0,44264830,23088361,,23088361,,,,23088361,0,23088361
2017,155399,Kansas State University,3,KS,1,,1,NCAA,8854,7798,16652,7,Football,124,,,,124,0,27299,3385066,0,0,3385066,,,,,,41333499,,41333499,,,,41333499,0,41333499,20571556,,20571556,,,,20571556,0,20571556
2017,159391,Louisiana State University and Agricultural & Mechanical College,5,LA,1,,1,NCAA,10492,11457,21949,7,Football,120,,,,120,0,30563,3667555,0,0,3667555,,,,,,86579944,,86579944,,,,86579944,0,86579944,31561996,,31561996,,,,31561996,0,31561996
2017,171100,Michigan State University,2,MI,1,,1,NCAA,17314,17935,35249,7,Football,117,,,,117,0,49347,5773647,0,0,5773647,,,,,,77930837,,77930837,,,,77930837,0,77930837,33528479,,33528479,,,,33528479,0,33528479
2017,176080,Mississippi State University,5,MS,1,,1,NCAA,8131,8220,16351,7,Football,123,,,,123,0,39920,4910136,0,0,4910136,,,,,,29753690,,29753690,,,,29753690,0,29753690,23226169,,23226169,,,,23226169,0,23226169
2017,199193,North Carolina State University at Raleigh,1,NC,1,,1,NCAA,11506,9734,21240,7,Football,115,,,,115,0,17310,1990645,0,0,1990645,,,,,,45214291,,45214291,,,,45214291,0,45214291,21321620,,21321620,,,,21321620,0,21321620
2017,147767,Northwestern University,2,IL,1,,1,NCAA,4047,4120,8167,7,Football,115,,,,115,0,25446,2926279,0,0,2926279,,,,,,49703674,,49703674,,,,49703674,0,49703674,30031305,,30031305,,,,30031305,0,30031305
2017,204796,Ohio State University-Main Campus,2,OH,1,,1,NCAA,21626,20198,41824,7,Football,128,,,,128,0,92049,11782222,0,0,11782222,,,,,,110661057,,110661057,,,,110661057,0,110661057,46444134,,46444134,,,,46444134,0,46444134
2017,207388,Oklahoma State University-Main Campus,3,OK,1,,1,NCAA,9227,8923,18150,7,Football,131,,,,131,0,23775,3114536,0,0,3114536,,,,,,45717019,,45717019,,,,45717019,0,45717019,22467863,,22467863,,,,22467863,0,22467863
2017,209542,Oregon State University,4,OR,1,,1,NCAA,9948,8446,18394,7,Football,116,,,,116,0,29431,3413979,0,0,3413979,,,,,,35238292,,35238292,,,,35238292,0,35238292,17323268,,17323268,,,,17323268,0,17323268
2017,214777,Pennsylvania State University-Main Campus,2,PA,1,,1,NCAA,21053,18630,39683,7,Football,124,,,,124,0,78845,9776770,0,0,9776770,,,,,,100098956,,100098956,,,,100098956,0,100098956,45569892,,45569892,,,,45569892,0,45569892
2017,243780,Purdue University-Main Campus,2,IN,1,,1,NCAA,17529,12740,30269,7,Football,120,,,,120,0,33169,3980318,0,0,3980318,,,,,,25822409,,25822409,,,,25822409,0,25822409,27230929,,27230929,,,,27230929,0,27230929
2017,186380,Rutgers University-New Brunswick,2,NJ,1,,1,NCAA,16844,16775,33619,7,Football,120,,,,120,0,52675,6321011,0,0,6321011,,,,,,25939804,,25939804,,,,25939804,0,25939804,25939804,,25939804,,,,25939804,0,25939804
2017,243744,Stanford University,4,CA,1,,1,NCAA,3510,3546,7056,7,Football,103,,,,103,0,50140,5164460,0,0,5164460,,,,,,46847028,,46847028,,,,46847028,0,46847028,27000776,,27000776,,,,27000776,0,27000776
2017,196413,Syracuse University,1,NY,1,,1,NCAA,6625,7721,14346,7,Football,120,,,,120,0,29414,3529663,0,0,3529663,,,,,,41533110,,41533110,,,,41533110,0,41533110,24994763,,24994763,,,,24994763,0,24994763
2017,228723,Texas A & M University-College Station,5,TX,1,,1,NCAA,24141,22451,46592,7,Football,118,,,,118,0,44079,5201338,0,0,5201338,,,,,,82564175,,82564175,,,,82564175,0,82564175,48119071,,48119071,,,,48119071,0,48119071
2017,228875,Texas Christian University,3,TX,1,,1,NCAA,3530,5197,8727,7,Football,132,,,,132,0,54531,7198138,0,0,7198138,,,,,,56584276,,56584276,,,,56584276,0,56584276,39154002,,39154002,,,,39154002,0,39154002
2017,229115,Texas Tech University,3,TX,1,,1,NCAA,14524,12757,27281,7,Football,129,,,,129,0,30906,3986837,0,0,3986837,,,,,,45054306,,45054306,,,,45054306,0,45054306,20037020,,20037020,,,,20037020,0,20037020
2017,100751,The University of Alabama,5,AL,1,,1,NCAA,13351,16471,29822,7,Football,138,,,,138,0,70301,9701496,0,0,9701496,,,,,,111102134,,111102134,,,,111102134,0,111102134,62944472,,62944472,,,,62944472,0,62944472
2017,221759,The University of Tennessee-Knoxville,5,TN,1,,1,NCAA,10448,10461,20909,7,Football,126,,,,126,0,38658,4870940,0,0,4870940,,,,,,93890299,,93890299,,,,93890299,0,93890299,45343685,,45343685,,,,45343685,0,45343685
2017,228778,The University of Texas at Austin,3,TX,1,,1,NCAA,17419,20091,37510,7,Football,115,,,,115,0,21588,2482617,0,0,2482617,,,,,,143064180,,143064180,,,,143064180,0,143064180,41250787,,41250787,,,,41250787,0,41250787
2017,104179,University of Arizona,4,AZ,1,,1,NCAA,13852,15397,29249,7,Football,128,,,,128,0,39498,5055779,0,0,5055779,,,,,,44011760,,44011760,,,,44011760,0,44011760,32153926,,32153926,,,,32153926,0,32153926
2017,106397,University of Arkansas,5,AR,1,,1,NCAA,9529,10870,20399,7,Football,123,,,,123,0,44542,5478663,0,0,5478663,,,,,,67851084,,67851084,,,,67851084,0,67851084,44633637,,44633637,,,,44633637,0,44633637
2017,110635,University of California-Berkeley,4,CA,1,,1,NCAA,14016,15335,29351,7,Football,119,,,,119,0,58377,6946917,0,0,6946917,,,,,,32650505,,32650505,,,,32650505,0,32650505,25140854,,25140854,,,,25140854,0,25140854
2017,110662,University of California-Los Angeles,4,CA,1,,1,NCAA,12930,17520,30450,7,Football,122,,,,122,0,74265,9060305,0,0,9060305,,,,,,39891547,,39891547,,,,39891547,0,39891547,46765107,,46765107,,,,46765107,0,46765107
2017,126614,University of Colorado Boulder,4,CO,1,,1,NCAA,14952,11932,26884,7,Football,110,,,,110,0,40006,4400688,0,0,4400688,,,,,,43468471,,43468471,,,,43468471,0,43468471,22082244,,22082244,,,,22082244,0,22082244
2017,134130,University of Florida,5,FL,1,,1,NCAA,13411,17476,30887,7,Football,129,,,,129,0,69165,8922234,0,0,8922234,,,,,,87985713,,87985713,,,,87985713,0,87985713,47342367,,47342367,,,,47342367,0,47342367
2017,139959,University of Georgia,5,GA,1,,1,NCAA,11605,15454,27059,7,Football,131,,,,131,0,66826,8754154,0,0,8754154,,,,,,129023591,,129023591,,,,129023591,0,129023591,44909546,,44909546,,,,44909546,0,44909546
2017,145637,University of Illinois at Urbana-Champaign,2,IL,1,,1,NCAA,17464,14746,32210,7,Football,108,,,,108,0,25046,2705000,0,0,2705000,,,,,,51295520,,51295520,,,,51295520,0,51295520,22217186,,22217186,,,,22217186,0,22217186
2017,153658,University of Iowa,2,IA,1,,1,NCAA,9899,11180,21079,7,Football,123,,,,123,0,36266,4460757,0,0,4460757,,,,,,75963196,,75963196,,,,75963196,0,75963196,33092807,,33092807,,,,33092807,0,33092807
2017,155317,University of Kansas,3,KS,1,,1,NCAA,8325,8721,17046,7,Football,114,,,,114,0,30560,3483796,0,0,3483796,,,,,,34159741,,34159741,,,,34159741,0,34159741,19470504,,19470504,,,,19470504,0,19470504
2017,157085,University of Kentucky,5,KY,1,,1,NCAA,9218,11393,20611,7,Football,123,,,,123,0,32057,3943010,0,0,3943010,,,,,,40035938,,40035938,,,,40035938,0,40035938,27206659,,27206659,,,,27206659,0,27206659
2017,157289,University of Louisville,1,KY,1,,1,NCAA,5635,6329,11964,7,Football,102,,,,102,0,53140,5420270,0,0,5420270,,,,,,43649769,,43649769,,,,43649769,0,43649769,26858473,,26858473,,,,26858473,0,26858473
2017,163286,University of Maryland-College Park,2,MD,1,,1,NCAA,14594,12944,27538,7,Football,121,,,,121,0,21551,2607695,0,0,2607695,,,,,,34572475,,34572475,,,,34572475,0,34572475,19881239,,19881239,,,,19881239,0,19881239
2017,166629,University of Massachusetts-Amherst,0,MA,1,,1,NCAA,10958,10523,21481,7,Football,113,,,,113,0,16171,1827299,0,0,1827299,,,,,,10010932,,10010932,,,,10010932,0,10010932,10010932,,10010932,,,,10010932,0,10010932
2017,135726,University of Miami,1,FL,1,,1,NCAA,4874,5260,10134,7,Football,109,,,,109,0,53104,5788381,0,0,5788381,,,,,,57144810,,57144810,,,,57144810,0,57144810,37268190,,37268190,,,,37268190,0,37268190
2017,170976,University of Michigan-Ann Arbor,2,MI,1,,1,NCAA,14205,14314,28519,7,Football,135,,,,135,0,56196,7586460,0,0,7586460,,,,,,124928493,,124928493,,,,124928493,0,124928493,43453382,,43453382,,,,43453382,0,43453382
2017,174066,University of Minnesota-Twin Cities,2,MN,1,,1,NCAA,13884,15428,29312,7,Football,113,,,,113,0,54592,6168861,0,0,6168861,,,,,,61561973,,61561973,,,,61561973,0,61561973,27754757,,27754757,,,,27754757,0,27754757
2017,176017,University of Mississippi,5,MS,1,,1,NCAA,7653,9708,17361,7,Football,127,,,,127,0,48176,6118412,0,0,6118412,,,,,,51212053,,51212053,,,,51212053,0,51212053,30175051,,30175051,,,,30175051,0,30175051
2017,178396,University of Missouri-Columbia,5,MO,1,,1,NCAA,10597,11534,22131,7,Football,119,,,,119,0,34690,4128103,0,0,4128103,,,,,,31426691,,31426691,,,,31426691,0,31426691,23659474,,23659474,,,,23659474,0,23659474
2017,181464,University of Nebraska-Lincoln,2,NE,1,,1,NCAA,10175,9359,19534,7,Football,128,,,,128,0,37082,4746458,0,0,4746458,,,,,,92506833,,92506833,,,,92506833,0,92506833,46116924,,46116924,,,,46116924,0,46116924
2017,199120,University of North Carolina at Chapel Hill,1,NC,1,,1,NCAA,7464,10811,18275,7,Football,134,,,,134,0,25057,3357574,0,0,3357574,,,,,,43122492,,43122492,,,,43122492,0,43122492,21068434,,21068434,,,,21068434,0,21068434
2017,152080,University of Notre Dame,0,IN,1,,1,NCAA,4467,4042,8509,7,Football,114,,,,114,0,84505,9633620,0,0,9633620,,,,,,107434072,,107434072,,,,107434072,0,107434072,42822063,,42822063,,,,42822063,0,42822063
2017,207500,University of Oklahoma-Norman Campus,3,OK,1,,1,NCAA,9455,9397,18852,7,Football,116,,,,116,0,97165,11271152,0,0,11271152,,,,,,102321307,,102321307,,,,102321307,0,102321307,39088102,,39088102,,,,39088102,0,39088102
2017,209551,University of Oregon,4,OR,1,,1,NCAA,8221,9567,17788,7,Football,102,,,,102,0,54471,5556041,0,0,5556041,,,,,,70542278,,70542278,,,,70542278,0,70542278,27716622,,27716622,,,,27716622,0,27716622
2017,215293,University of Pittsburgh-Pittsburgh Campus,1,PA,1,,1,NCAA,8877,9475,18352,7,Football,111,,,,111,0,42690,4738615,0,0,4738615,,,,,,36453643,,36453643,,,,36453643,0,36453643,27141760,,27141760,,,,27141760,0,27141760
2017,218663,University of South Carolina-Columbia,5,SC,1,,1,NCAA,11221,13357,24578,7,Football,116,,,,116,0,35810,4153930,0,0,4153930,,,,,,64415927,,64415927,,,,64415927,0,64415927,33317645,,33317645,,,,33317645,0,33317645
2017,123961,University of Southern California,4,CA,1,,1,NCAA,8903,9562,18465,7,Football,110,,,,110,0,114984,12648219,0,0,12648219,,,,,,60171935,,60171935,,,,60171935,0,60171935,32949542,,32949542,,,,32949542,0,32949542
2017,230764,University of Utah,4,UT,1,,1,NCAA,9488,8352,17840,7,Football,129,,,,129,0,43249,5579078,0,0,5579078,,,,,,55835312,,55835312,,,,55835312,0,55835312,25609244,,25609244,,,,25609244,0,25609244
2017,234076,University of Virginia-Main Campus,1,VA,1,,1,NCAA,7211,8486,15697,7,Football,103,,,,103,0,30638,3155700,0,0,3155700,,,,,,32549903,,32549903,,,,32549903,0,32549903,22552489,,22552489,,,,22552489,0,22552489
2017,236948,University of Washington-Seattle Campus,4,WA,1,,1,NCAA,13404,15133,28537,7,Football,113,,,,113,0,92511,10453775,0,0,10453775,,,,,,81131079,,81131079,,,,81131079,0,81131079,38744975,,38744975,,,,38744975,0,38744975
2017,240444,University of Wisconsin-Madison,2,WI,1,,1,NCAA,13812,14747,28559,7,Football,115,,,,115,0,52160,5998401,0,0,5998401,,,,,,82423665,,82423665,,,,82423665,0,82423665,30153256,,30153256,,,,30153256,0,30153256
2017,221999,Vanderbilt University,5,TN,1,,1,NCAA,3315,3476,6791,7,Football,102,,,,102,0,26712,2724632,0,0,2724632,,,,,,30331584,,30331584,,,,30331584,0,30331584,23476754,,23476754,,,,23476754,0,23476754
2017,233921,Virginia Polytechnic Institute and State University,1,VA,1,,1,NCAA,15074,11481,26555,7,Football,123,,,,123,0,34857,4287427,0,0,4287427,,,,,,55348135,,55348135,,,,55348135,0,55348135,27864229,,27864229,,,,27864229,0,27864229
2017,199847,Wake Forest University,1,NC,1,,1,NCAA,2346,2700,5046,7,Football,105,,,,105,0,20773,2181135,0,0,2181135,,,,,,25793812,,25793812,,,,25793812,0,25793812,19360660,,19360660,,,,19360660,0,19360660
2017,236939,Washington State University,4,WA,1,,1,NCAA,10620,11478,22098,7,Football,124,,,,124,0,37333,4629284,0,0,4629284,,,,,,41709437,,41709437,,,,41709437,0,41709437,19963281,,19963281,,,,19963281,0,19963281
2017,238032,West Virginia University,3,WV,1,,1,NCAA,11063,9649,20712,7,Football,126,,,,126,0,54046,6809771,0,0,6809771,,,,,,20543010,,20543010,,,,20543010,0,20543010,20961319,,20961319,,,,20961319,0,20961319